label,text
0,"By the bye, gentlemen, this this is a very well constructed house."""
0,"All at once Dupin broke forth with these words: ""He is a very little fellow, that's true, and would do better for the Théâtre des Variétés."""
0,"A singular change, too, had come over the heavens."
0,"And this thicket, so full of a natural art, was in the immediate vicinity, within a few rods, of the dwelling of Madame Deluc, whose boys were in the habit of closely examining the shrubberies about them in search of the bark of the sassafras."
0,Men lived; and died individually.
0,"Forced it open, at length, with a bayonet not with a crowbar."
0,"Finally, throwing off his overcoat, he made one spring for the staircase and disappeared."
0,"And may it not thus happen that many far greater than Milton have contentedly remained ""mute and inglorious?"""
0,Pompey held it up out of the dirt with both hands.
0,The pieces of her frock torn out by the bushes were about three inches wide and six inches long.
0,Therefore it was not thrown in by murderers.
0,"In about ten minutes after starting, the barometer indicated an altitude of , feet."
0,"From above, hung a chain of an unknown blood red metal its upper end lost, like the city of Boston, parmi les nues."
0,"The ""little cliff,"" upon whose edge he had so carelessly thrown himself down to rest that the weightier portion of his body hung over it, while he was only kept from falling by the tenure of his elbow on its extreme and slippery edge this ""little cliff"" arose, a sheer unobstructed precipice of black shining rock, some fifteen or sixteen hundred feet from the world of crags beneath us."
0,"When at last the clanking subsided, I resumed the trowel, and finished without interruption the fifth, the sixth, and the seventh tier."
0,"While I was pondering upon what was best to be done, Jupiter's voice was again heard."
0,"The position of the candelabrum displeased me, and outreaching my hand with difficulty, rather than disturb my slumbering valet, I placed it so as to throw its rays more fully upon the book."
0,"But, then, the radicalness of these differences, which was excessive; the dirt; the soiled and torn condition of the paper, so inconsistent with the true methodical habits of D , and so suggestive of a design to delude the beholder into an idea of the worthlessness of the document; these things, together with the hyper obtrusive situation of this document, full in the view of every visiter, and thus exactly in accordance with the conclusions to which I had previously arrived; these things, I say, were strongly corroborative of suspicion, in one who came with the intention to suspect."
0,"""It is done"" I cried, with all the enthusiasm that I could muster at the moment."
0,"""Nitre?"" he asked, at length."
0,"A discrepancy of this unnatural kind gave rise, too frequently, alas to a life of unhappiness."
0,"On the night of the day on which this cruel deed was done, I was aroused from sleep by the cry of fire."
0,"Excited by such appliances to vice, my constitutional temperament broke forth with redoubled ardor, and I spurned even the common restraints of decency in the mad infatuation of my revels."
0,"I was unwilling to trust myself with a race of people who had offered, to the cursory glance I had taken, so many points of vague novelty, doubt, and apprehension."
0,"The anemone, with great brilliancy, has no smell."
0,"You will, therefore, please your majesty, be so good as to take the will for the deed for by no manner of means either can I or will I swallow another drop least of all a drop of that villainous bilge water that answers to the hall of 'Black Strap.'"""
0,"You are Number Two, and must look to yourself."
0,A strange odor loaded the breeze.
0,"Then the mere consciousness of existence, without thought a condition which lasted long."
0,"SIR, Through our common friend, Mr. P., I have received your note of this evening."
0,"Mr. L. makes his lens have a power of , times."
0,In the bottom of the valley itself for it must be borne in mind that the vegetation hitherto mentioned grew only on the cliffs or hillsides were to be seen three insulated trees.
0,"The one wrote a Jeremiad about usury, and was called Jeremy Bentham."
0,"Suddenly, as the seamen stumbled against the entrance of a tall and ghastly looking building, a yell more than usually shrill from the throat of the excited Legs, was replied to from within, in a rapid succession of wild, laughter like, and fiendish shrieks."
0,"Some courtesy, nevertheless, is due to the presence of this company, and to yourself, at this moment, as my guest."
0,For a long time he would eat nothing but thistles; but of this idea we soon cured him by insisting upon his eating nothing else.
0,"The second step having been a consequence of the data, the third step is equally a consequence of the second, the fourth of the third, the fifth of the fourth, and so on, and not possibly otherwise, to the end."
0,"Nevertheless, I am not the husband of my great, great, grandmother; and this is a reflection which affords me infinite relief, but I am the husband of Madame Lalande of Madame Stephanie Lalande with whom my good old relative, besides making me her sole heir when she dies if she ever does has been at the trouble of concocting me a match."
0,"An anxious examination of his career has given me to understand that in general, from the violation of a few simple laws of humanity arises the wretchedness of mankind that as a species we have in our possession the as yet unwrought elements of content and that, even now, in the present darkness and madness of all thought on the great question of the social condition, it is not impossible that man, the individual, under certain unusual and highly fortuitous conditions, may be happy."
0,I am not Suky Snobbs.
0,"Modern discoveries, indeed, in what may be termed ethical magnetism or magnetoesthetics, render it probable that the most natural, and, consequently, the truest and most intense of the human affections are those which arise in the heart as if by electric sympathy in a word, that the brightest and most enduring of the psychal fetters are those which are riveted by a glance."
0,The effect was beautiful to behold.
0,"Some five or six volumes, just from the hands of the binder, we carefully probed, longitudinally, with the needles."""
0,"The first stroke of the razorlike crescent athwart any portion of the band, would so detach it that it might be unwound from my person by means of my left hand."
0,"Villain at Rome, with how untimely, yet with how spectral an officiousness, stepped he in between me and my ambition At Vienna, too at Berlin and at Moscow Where, in truth, had I not bitter cause to curse him within my heart?"
0,"Besides all this, there was suspended from the roof of the tomb, a large bell, the rope of which, it was designed, should extend through a hole in the coffin, and so be fastened to one of the hands of the corpse."
0,Some of our best novelists patronize this tone.
0,"And when my spirit departs shall the child live thy child and mine, Morella's."
0,"It ran thus: ""To pen an Ode upon the 'Oil of Bob.'"" Having carefully looked out, however, all the legitimate rhymes to ""Bob,"" I found it impossible to proceed."
0,"It is known, also, that it still remains in his possession."""
0,"He is of a well knit and compact frame of body, neither robust nor remarkably otherwise."
0,"It was a fearful page in the record my existence, written all over with dim, and hideous, and unintelligible recollections."
0,"I asked, ""the women and all?"" ""Assuredly,"" he said, ""we could not do at all without the women; they are the best lunatic nurses in the world; they have a way of their own, you know; their bright eyes have a marvellous effect; something like the fascination of the snake, you know."""
0,The populace encored.
0,"For my part, I am by no means sure that a pumpkin pie a la Desoulieres would not have been very capital eating indeed"" ""You astonish me"" said I; and I looked inquisitively at Monsieur Maillard."
0,"The result of my experiment with the old books, convinced me, in the first place, that ""honesty is the best policy,"" and, in the second, that if I could not write better than Mr. Dante, and the two blind men, and the rest of the old set, it would, at least, be a difficult matter to write worse."
0,"But the gang which has drawn upon itself the pointed animadversion, although the somewhat tardy and very suspicious evidence of Madame Deluc, is the only gang which is represented by that honest and scrupulous old lady as having eaten her cakes and swallowed her brandy, without putting themselves to the trouble of making her payment."
0,"With little difficulty I made my way unperceived to the main hatchway, which was partially open, and soon found an opportunity of secreting myself in the hold."
0,"It has since been to me a matter of deep regret that an awkward accident, at this time, occasioned me the loss of my little family of cats, and deprived me of the insight into this matter which a continued experiment might have afforded."
0,I found it a matter of exceeding difficulty to squeeze myself in.
0,"To the right of this compartment, however, that is to say the spectators' right a small division, six inches wide, and filled with machinery, is partitioned off."
0,"I wish merely to caution you against the whole tone of L'Etoile's suggestion, by calling your attention to its ex parte character at the outset."
0,"Unsheathing my rapier, I began to grope with it about the recess: but the thought of an instant reassured me."
0,"She was a very beautiful and painfully modest young lady, who thought the ordinary mode of habiliment indecent, and wished to dress herself, always, by getting outside instead of inside of her clothes."
0,"I must wait until I see the beetle itself, if I am to form any idea of its personal appearance."""
0,"""In speaking of the lonely assassin dragging his burden to the shore, I have already suggested the probability of his availing himself of a boat."
0,"A lamp which had been accidentally left, full of oil, within the tomb, was found empty; it might have been exhausted, however, by evaporation."
0,To him a pas de papillon has been an abstract conception.
0,WE had now reached the summit of the loftiest crag.
0,"It could not be denied that our atmosphere was radically affected; the conformation of this atmosphere and the possible modifications to which it might be subjected, were now the topics of discussion."
0,"For several minutes, although he looked me full in the face, he said nothing."
0,"Pompey arose, and said no word."
0,"Length of years, and subsequent reflection, have enabled me to trace, indeed, some remote connection between this passage in the English moralist and a portion of the character of Ligeia."
0,"And in these arrangements of the Principia of human action, the Spurzheimites, whether right or wrong, in part, or upon the whole, have but followed, in principle, the footsteps of their predecessors: deducing and establishing every thing from the preconceived destiny of man, and upon the ground of the objects of his Creator."
0,"The business, however, has grown ungenteel, and that of a politician don't pay."
0,This occasion we have already stated to occur when the man concealed within brings his body into an erect position upon the closing of the back door. .
0,The mathematics are the science of form and quantity; mathematical reasoning is merely logic applied to observation upon form and quantity.
0,"In truth, while that merit which consists in the mere avoiding demerit, appeals directly to the understanding, and can thus be foreshadowed in Rule, the loftier merit, which breathes and flames in invention or creation, can be apprehended solely in its results."
0,"Behold me then safely ensconced in my private boudoir, a fearful instance of the ill consequences attending upon irascibility alive, with the qualifications of the dead dead, with the propensities of the living an anomaly on the face of the earth being very calm, yet breathless."
0,"His sole garments were a stock of nine inches in height, and a nearly new drab overcoat which had formerly been in the service of the tall, stately, and illustrious Dr. Moneypenny."
0,"Et chez J. Goignard, au premier pilier de la grand'salle du Palais, proche les Consultations, MDCXLVII."""
0,"After incredible labor we succeeded, at length, in getting the longboat over the side without material accident, and into this we crowded the whole of the crew and most of the passengers."
0,"They all grew as pale as so many corpses, and, shrinking within their seats, sat quivering and gibbering with terror, and listening for a repetition of the sound."
0,"His hotel, too, is not without attendants devoted to his interests."
0,"That the newspapers which were stuck all over the little balloon were newspapers of Holland, and therefore could not have been made in the moon."
0,"To the right and left, as far as the eye could reach, there lay outstretched, like ramparts of the world, lines of horridly black and beetling cliff, whose character of gloom was but the more forcibly illustrated by the surf which reared high up against its white and ghastly crest, howling and shrieking forever."
0,"Thus it is evident that we can assign no period, with any thing like accuracy, at which the corpse shall rise through decomposition."
0,"It might have been done under the Act for the ""Prevention of Cruelty to Animals."""
0,"After many years spent in foreign travel, I sailed in the year , from the port of Batavia, in the rich and populous island of Java, on a voyage to the Archipelago of the Sunda islands."
0,He wishes to prove that Marie is not assassinated not that the corpse was not.
0,The interior of the main compartment is lined throughout with cloth.
0,All the movements of the arm are at right angles.
0,"""And then,"" said a cadaverous looking personage, near the foot of the table, taking up the thread of the conversation where it had been broken off, ""and then, among other oddities, we had a patient, once upon a time, who very pertinaciously maintained himself to be a Cordova cheese, and went about, with a knife in his hand, soliciting his friends to try a small slice from the middle of his leg."""
0,"We have passed over some twenty or thirty vessels of various kinds, and all seem to be delightfully astonished."
0,"It was now midnight, and my task was drawing to a close."
0,Wyatt's party arrived in about ten minutes after myself.
0,"""The island in the distance,"" resumed the old man, ""is called by the Norwegians Vurrgh."
0,"With a well feigned show of reluctance, and not until after my repeated refusal had seduced him into some angry words which gave a color of pique to my compliance, did I finally comply."
0,"""But,"" said I, ""you are quite au fait in these investigations."
0,"Therein, I say, are glorious histories of the Heaven, and of the Earth, and of the mighty sea and of the Genii that over ruled the sea, and the earth, and the lofty heaven."
0,But I need not vex you with impertinent details.
0,"But, under the real circumstances of the case, if we are to suppose gold the motive of this outrage, we must also imagine the perpetrator so vacillating an idiot as to have abandoned his gold and his motive together."
0,"It was especially bitter about things in general and as for the editor of 'The Gazette,' he was torn all to pieces in particular."
0,"Not being able to arrive at a conclusion, the practitioners remanded me for farther examination."
0,"I knew that he had been lying awake ever since the first slight noise, when he had turned in the bed."
0,It is noticeable that the popular prejudices and vulgar errors in regard to pestilences and wars errors which were wont to prevail upon every appearance of a comet were now altogether unknown.
0,"As the sleep waker pronounced these latter words, in a feeble tone, I observed on his countenance a singular expression, which somewhat alarmed me, and induced me to awake him at once."
0,"""Keeping now steadily in mind the points to which I have drawn your attention that peculiar voice, that unusual agility, and that startling absence of motive in a murder so singularly atrocious as this let us glance at the butchery itself."
